Number,0,1,Section,Number,Beer,Brewery,Style,Anticipation
1,-9.2276325,1.4359874,1,1,Boba Beer,Dad & Dave,Sour,5
2,-6.5308905,3.4531083,1,2,Homestead Blackberry and Apple Pastry Sour,The Coastal Brewing Company,Specialty,6
3,2.2947495,-4.6248655,1,3,Suit Up,7th Day Brewery,IPA Black,7
4,5.788249,4.698847,1,4,Whiskey in the jar,Six String Brewing Co,Wood Aged Beer,8
5,2.9229574,-7.690462,1,5,Marsden Neopolitan Porter,The Marsden Brewhouse,Stout Tropical,10
6,-3.5736692,8.371093,1,6,Go! Go! Ichigo!,The Mill Brewery,Sour,6
7,-3.1783874,-7.727312,1,7,Market 2023,Hop Nation Brewing Co,NEIPA,8
8,7.9935894,-5.6675706,1,8,Barrel Aged Rum Double Choc Brown Ale,Bad Shepherd Brewing Co,Specialty,7
9,8.1336775,-8.045351,1,9,I am Weiss,Yenda Brewing Co,Wheat,3
10,10.351159,-5.966017,1,10,"Tim, Tam & Tom",B.O.B,Brown,6
11,9.962473,-2.847595,1,11,Molecular Bubble Tea IPA,The Zythologist,IPA Milkshake,7
12,10.676443,2.493112,1,12,Lavender Cheesecake,Sauce Brewing Co,Sour,7
13,4.7861853,-0.97185504,1,13,SAB Lite,St Andrews Beach Brewery,Lager,0
14,-3.1692688,8.8931265,1,14,Don't Go Baking My Heart',Local Brewing Co,Stout,8
15,-6.330225,-3.3307388,1,15,Cherry Maguire,Feral Brewing Co,Sour,8
16,-1.691912,0.17917994,1,16,The Taverner - All Brut Low Glut,Urban Alley Brewery,IPA White,6
17,4.2778177,7.4312563,1,17,The Lover,Co-Conspirators Brewing,Stout,8
18,-3.5876493,-3.2305055,1,18,Escape with the Schwartz,Escape Brewing,Lager Dark,7
19,-5.080884,2.6010935,1,19,OnlyFlans,Big Shed Brewing Concern,Sour,9
20,-4.317128,-8.439118,1,20,Unicorn NEIPA,Seeker Brewing,NEIPA,6
