0,1,Section,Number,Beer,Brewery,Style,Abv
-0.22024650455551453,-0.17888735209983433,1,1.0,HONEY GUM (RED IPA),Clifton Hill Brewing,Red IPA,7.0
0.2730631903888554,-0.17155829021033456,1,2.0,Choc à l'orange,Brewmanity Beer Co,Imperial Stout,7.0
0.0018502556264647953,-0.0295614886335549,1,3.0,Spaghetti Saison,Six String Brewing Co,Saison/Farmhouse Ale,5.0
0.10688677472830706,-0.09595631078721176,1,4.0,Cocoa Comet,The Brew Baron Beer Co.,Porter,7.0
0.21860699424655858,-0.06847650734923987,1,5.0,Crumbs - Imperial Cookie Stout,8 Wired,Imperial Stout,10.0
0.0800882002359172,-0.03373586118950521,1,6.0,Unlikely Friends,Aetheon Brewing,Specialty Beer,7.8
0.10502746926557821,-0.05371644955433339,1,7.0,White Forest,Red Duck,Cream Ale,5.6
-0.12647833570537587,-0.018268167265847488,1,8.0,Dank & Stormy,Akasha Brewing Co.,American Amber/Red,5.8
-0.06013530537263842,-0.017429968497175468,1,9.0,Screamin' Peach,Canobolas Brewing Co,Fruit Beer,4.0
-0.015996828621538957,0.3578183801427214,1,10.0,Funky Gose To Hollywood,Wandana Brewing Co,Gose Sour,6.0
-0.048193259218347724,-0.06610228649816463,1,11.0,Old Mate,Jetty Road Brewery,Irish Amber/Red,7.0
-0.30537743937479717,-0.151125454298258,1,12.0,King River Double Red IPA,King River Brewing,Red IPA,8.5
0.18536381277077202,-0.23359918983145803,1,13.0,Don't Take The Pith,Hiker Brewing Co,Porter,6.5
-0.015811873226226694,0.027302071146656653,1,14.0,Brunswick Grape Ale,Temple Brewing Co,Specialty Beer,7.3
-0.15917794904886973,-0.05951106950990137,1,15.0,"Pepper, Pepper, Pepper",Molly Rose Brewing,American IPA,6.1
-0.09036900439961669,-0.02761912143278103,1,16.0,Double Lemon Shochu Shandy,Stomping Ground Brewing Co,Pale Lager,6.0
0.03452130755579834,0.18831105294373665,1,17.0,Smoke Rings,Cavalier Brewing,Kettle Sour,4.9
-0.28197178153812746,-0.1782001633470609,1,18.0,Hybrid Theory Red Rye IPA,Rusty Penny Brewing,Red IPA,8.0
-0.10059924150267743,-0.07517229485938241,1,19.0,Open Relationship,Devilbend Farm Beer Co. ,Classic Pilsner Lager,5.0
0.05386881504011835,0.1514429950136404,1,20.0,Krushberry Pi 3.142%,KAIJU! Beer,Pastry Sour,3.1
0.27515966498981237,-0.03145179098713982,2,21.0,Bounty Hunter,Seeker Brewing,Imperial Stout,10.1
-0.15673815432754468,-0.09945392632078161,2,22.0,High Carb White IPA,3 Griffins Brewing,IPA - White,4.2
0.07880290334855095,0.19575384061996026,2,23.0,Tarte Noir,Precinct Brewing,Kettle Sour,6.0
-0.07848814272106021,-0.031505117091124135,2,24.0,Paradise Pils,Freshwater Brewing Co,Classic Pilsner Lager,5.0
-0.04673385714235073,0.03953273505218471,2,25.0,Rum Running,Smiley Brewing,Specialty Beer,7.0
0.11818173646381094,-0.1960084725077794,2,26.0,Nitro Citrus - Blood Orange Chocolate Porter,Blackflag Brewery,Porter,6.5
-0.06983972456804402,-0.007035918565203875,2,27.0,Yu Zerious? - Yuzu Russ”,Urban Alley Brewery,Fruit Beer,2.8
-0.006568328534433712,-0.0203183478043842,2,28.0,Dubbel Dutch,Hop Hen Brewing,Belgian Dubbel,7.8
-0.18636911839929465,-0.046733066007309046,2,29.0,Soolong Sucka,Bowden Brewing,American IPA,6.5
-0.031014153497009006,-0.00958643070458741,2,30.0,Wise and the Foolish,Captain Bligh's Brewery,Weizenbock,5.8
-0.07484909245599118,-0.06158266601906395,2,31.0,Guava Lava Imperial IPL,7th Day Brewery,New England (Double) IPA,8.6
-0.07401332995683431,0.01021672817485171,2,32.0,Pig Pickin Cake,Ocean Reach Brewing,Milkshake IPA,6.0
-0.22776475892189155,-0.09021108246822988,2,33.0,Hopless - Botanical IPA,Sauce Brewing Co,Gruit,6.2
0.010572800273703869,0.320516059198515,2,34.0,Wakame Up Before You Gose,TWØBAYS Brewing Co.,Gose Sour,4.5
-0.044804106824724896,0.023515037596275917,2,35.0,Michelager,Black Hops Brewing,Lager - Mexican,5.5
0.1787065437607679,-0.1257842007028521,2,36.0,Smooth Caffeinator,King Tide Brewing,Dulce de Leche Affogato Stout,9.0
0.00403173432288181,0.3520711748589399,2,37.0,"Blackberries, Blueberries and Sour Patch kids!",BOBs Beer,Sour - Kettle Sour,4.5
0.14677997047326527,-0.03226223458894349,2,38.0,Supermassive Black Hole,Deeds Brewing,Stout - Pastry,12.0
0.020911842330060607,0.00538724943211383,2,39.0,"Feiladh Mor (""Great Kilt"")",Badlands Brewery,Scotch Ale/Wee Heavy,8.0
-0.20264695515733822,-0.04874869169901945,2,40.0,Mai TaIPA,Wayward Brewing Co.,Fruit Beer,6.5
-0.23132938229380115,-0.09671014434544076,3,41.0,Haze Train,Shelter Brewing Co.,Hazy IPA,5.7
0.10448962060464319,-0.053933340290135995,3,42.0,Creature of the Deep,Aether Brewing,Oatmeal Stout,8.0
-0.08583764562088704,-0.0022826450821989376,3,43.0,Triple Sticky,Forrest Brewing Co,Hoppy Lager,8.5
0.04854847551968242,0.3453570317198904,3,44.0,Rose Petal Raspberry Sour,Broulee Brewhouse,Sour,4.6
0.12092807388198659,-0.10969520474959356,3,45.0,“Shinigami” - Umami Smoked Porter,Powder Monkey Australia,Smoked Beer (non Rauchbier),5.5
0.051602796296862416,0.36011716362332685,3,46.0,Sucker Punch Strawberries & Cream Lollipop Sour,Working Title Brew Co.,Pastry Sour,8.0
-0.025369840059032877,0.020844599355756777,3,47.0,Aurora Australis Wonder Ale,Frenchies Brewery,Belgian Dark Strong Ale,12.5
-0.13610063429292385,-0.0854175230825224,3,48.0,Lazy Bones,Valley Hops Brewing,Brut IPA,6.0
0.40011414846197474,-0.19736379395141038,3,49.0,Pandan White Chocolate Stout,Rocks Brewing Co,Pastry Stout,6.0
-0.03623669435886798,-0.012796230154705015,3,50.0,Sparkling Saison Noir,Beereratne Brewing,Saison/Farmhouse Ale,7.2
-0.2915849789227833,-0.125175044074346,3,51.0,Hop Yearning,Westside Ale Works,American IPA,7.0
0.010505404502819914,0.27303112005904717,3,52.0,Pineapple Punch,Common Ground Brewing,Kettle Sour,6.0
-0.26396425473121216,-0.1490565033889681,3,53.0,Two Thumbs Toasted Ironbark West Coast IPA,Newstead Brewing Co,American IPA,8.0
0.013931344741509892,0.2647868407969641,3,54.0,Lemon & Key Lime Meringue Pie Sour,Good Folk Brewing,Kettle Sour,8.0
0.06221930369325341,-0.045220818567354916,3,55.0,Angry Fish,Noisy Minor,Baltic Porter,8.0
-0.061842104643144415,-0.011552300647882313,3,56.0,The Sanga,Soapbox Beer,Experimental Beer,5.5
-0.018634745218792645,-0.03528058885087771,3,57.0,"Honey Honey, Joy Joy",Ramblers Ale Works,Specialty Beer,6.5
0.033369144821440364,0.014654142376476375,3,58.0,Pick of the Bunch,Slipstream Brewing Co.,Specialty Beer,5.5
0.09540979260400773,-0.0628683393251036,3,59.0,Black Forest Gateau Collaboration with Tarts Anon,The Mill Brewery,Stout,6.5
-0.0025845872426493843,0.04125580670159126,3,60.0,Braupakt,Weihenstephan,Blonde Ale,6.5
0.2544838131109331,-0.11515036568412242,4,61.0,The Cowboy Slickshake,Good Land Brewing Co,Pastry Stout,8.5
0.005789127059469024,-0.021628219841360576,4,63.0,Vanta Manta,Straddie Brewing Co,Schwarzbier,5.8
-0.1526714892930522,-0.03864316032135487,4,64.0,Slice of Heaven - Thiolised NZ Pilsner,Dad & Dave's Brewing,New Zealand Pilsner Lager,6.0
-0.12332607700776199,-0.0714344435758302,4,65.0,Southern Crossed Lovers - ANZIPA,Shout Brewing Co,Hazy IPA,7.4
-0.06784334223941346,0.006530292569823648,4,66.0,Mr. Phantastic,Dangerous Ales,Cold IPA,7.2
-0.0056292453758596895,0.30413190643838106,4,67.0,Spi-ski Margarita Gose,Mountain Goat Beer,Gose Sour,6.0
-0.13605180618985066,-0.005653840340635324,4,68.0,DDH Unicorn Frappe NEIPA,Green Beacon,Milkshake IPA,8.0
-0.05723543253628214,0.15570617556947042,4,69.0,Slatterpuss Watermelon Sour,Copperlode Brewing Co.,Fruit Beer,4.0
0.07516064288749917,0.009333157188279807,4,70.0,Daily Tot,Boatrocker Brewers & Distillers,UK Brown Ale,6.1
0.052180889616013554,0.2832077444777749,4,71.0,Fantastic Sour,Revel Brewing Co.,Kettle Sour,3.5
0.06178970860573962,-0.10386009556714855,4,72.0,Vanilla Bean Panna Cotta,Your Mates Brewing Co.,Stout - White,8.0
-0.05060172129964666,-0.012202857823144736,4,73.0,ALTernate BIER,Bucket Brewery,Altbier,5.5
-0.12680708233393054,-0.02502268188973378,4,74.0,Double Booti KNEIPA,The Coastal Brewing Company ,New England (Double) IPA,8.0
-0.010234782656368171,-0.006626232601651429,4,75.0,Ooray for Gilbert,The Social Brewers,Specialty Beer,3.3
-0.014784717151149806,0.14100580518494873,4,76.0,Thicker Than Water (Brazilian Blood Limeaide Sour),Noodledoof,Pastry Sour,8.0
-0.12082450922550185,-0.06264610998921415,4,77.0,Insane Kölche Posse,Psycho suzies brewing,Kölsch,7.0
0.13373419422459856,-0.14170124719393337,4,78.0,Biscoff Chocolate Brownie Porter,Bad Shepherd Brewing Co,Porter,5.0
-0.05573206266329711,0.11451860651537303,4,79.0,Billson's Flavored Sour Beer,Billson's Brewery,Specialty Beer,3.5
0.0005950491373452262,-0.04821390303596298,4,80.0,Golden Roots - Spiced Volcanic Sweet Potato Copper Ale,Earth Beer Company,Experimental Beer,5.0
0.3258611998346451,-0.0874598750353491,5,81.0,Smoked Kelp Stout,Morrison Brewery,Smoked Beer (non Rauchbier),10.0
