Rank,Section,Beer 1,Beer 2,Beer 3,Beer 4,Beer 5
1,Section 3,42,47,55,56,58.0
2,Section 5,81,88,89,96,97.0
3,Section 2,21,34,36,37,38.0
4,Section 1,3,5,9,14,15.0
5,Section 6,102,105,111,113,114.0
6,Section 4,61,67,71,72,76.0
7,Section 5,84,87,90,98,99.0
8,Section 3,45,46,50,54,59.0
9,Section 2,23,25,26,31,35.0
10,Section 1,2,4,6,8,20.0
11,Section 6,108,110,112,115,117.0
12,Section 5,86,91,93,95,100.0
13,Section 4,63,64,66,70,74.0
14,Section 2,22,29,32,33,39.0
15,Section 1,7,11,13,17,18.0
16,Section 4,65,68,73,79,80.0
17,Section 3,43,48,53,57,60.0
18,Section 6,101,104,106,107,116.0
19,Section 5,82,83,85,92,94.0
20,Section 3,41,44,49,51,52.0
21,Section 1,1,10,12,16,19.0
22,Section 2,24,27,28,30,40.0
23,Section 4,69,75,77,78,
24,Section 6,103,109,118,119,
