Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Section,Number,Beer,Brewery,Style,Anticipation
1,0.0,0.09218025728148398,0.0920753676934823,0.09082346658444211,0.09307445392297264,0.09069341317428288,0.09307445392297263,0.09307445392297264,0.09307445392297264,0.09213112540294076,0.09053063994668528,0.09107753839453389,0.09307445392297264,0.0922737024700953,0.0919595767484204,0.09307445392297263,0.09307445392297264,0.09099125087627978,0.0896317430661955,0.09307445392297264,0.09307445392297263,0.08726335300422361,0.09211602702617677,0.09307445392297263,0.08806592459125416,0.09307445392297264,0.09307445392297263,0.09307445392297264,0.09174418710154045,0.09213189981114352,0.09307445392297264,0.09100980501942654,0.09307445392297264,0.09081513935139272,0.09218667569022475,0.09307445392297264,0.09047377640184852,0.09307445392297264,0.09220418190591835,0.09307445392297264,0.09104062075251242,0.09307445392297264,0.09307445392297264,0.08719716307603698,0.09207140615579994,0.09198487365075157,0.09307445392297263,0.0918451885486486,0.09203518350891274,0.09307445392297264,0.08791410331196511,0.09222168980331326,0.0892442473964523,0.09307445392297263,0.08890425291424595,0.09307445392297264,0.09307445392297263,0.0849191327251698,0.08985599671167796,0.0920245616391013,0.0899707720444023,0.09207167242064519,0.09307445392297264,0.09207093424133107,0.09307445392297264,0.090960816778271,0.08686093521223606,0.09174562269841663,0.09035934608952825,0.0908577905983652,0.09195969502244702,0.09307445392297264,0.09172941713901601,0.09307445392297264,0.09192703505559136,0.09307445392297263,0.08765241601260233,0.08741997052398227,0.09307445392297264,0.09307445392297263,0.09307445392297264,0.09107115501240858,0.0904679049403165,0.09215700799064386,0.09025747882836198,0.09199217034747788,0.09060582148507348,0.08950929616896824,0.09307445392297264,0.09222932835984383,0.09038336639352602,0.09307445392297264,0.09147191410228418,0.09307445392297264,0.09194284616464694,0.09307445392297264,0.09187724358021016,0.09222938981574859,0.09307445392297264,0.09307445392297264,0.08907482023271299,0.08602184729806048,0.09307445392297264,0.09307445392297264,0.09223941758146256,0.09307445392297264,0.09307445392297263,0.09212344978894843,0.08724720629164846,0.09307445392297263,0.09307445392297263,0.09307445392297264,0.09088099712706274,0.09015948619445438,0.09203231494707774,0.09307445392297263,0.09307445392297264,0.08853769056916697,0.09221567772708447,0.09307445392297264,1,1,Boba Beer,Dad & Dave,Sour,5
2,0.0920258522614042,0.0,0.09249346018570907,0.09291855109355213,0.09291855109355213,0.09106769312737625,0.09249741734450387,0.09079904068523988,0.09291855109355213,0.09291855109355213,0.09256427471450321,0.09136555530188575,0.09248101142267103,0.09291855109355213,0.08865509198603054,0.09291855109355213,0.09291855109355214,0.09247792885720348,0.09024594736548276,0.0924498756921147,0.09291855109355213,0.09097803727198363,0.09251070829435529,0.09107479300528006,0.09091413993908437,0.09256234748361387,0.09291855109355213,0.09253464590588728,0.09188316919933305,0.09291855109355213,0.09291855109355214,0.09048839736134112,0.09256872624333035,0.08965424332667916,0.09254068864444577,0.09246746824309936,0.09089750929496519,0.09246760500230626,0.09291855109355213,0.09002269930316378,0.09263462054707022,0.0883248360922764,0.09291855109355213,0.08993133204863653,0.09206303036090947,0.09245508747653418,0.08969903004855694,0.09147286278421954,0.09247641796295009,0.09251667006498593,0.09085444173401448,0.09255555209217456,0.09196212507416943,0.09291855109355213,0.07711525572270189,0.09250198636797893,0.09257667877102077,0.09195487376140302,0.08999025636247403,0.09247191391731775,0.09050811749353838,0.0924918928309043,0.09238710171097891,0.09291855109355213,0.09291855109355214,0.0911992763083106,0.09165085571613002,0.09291855109355213,0.09041869547867888,0.09202763836492454,0.09244441471751136,0.09291855109355213,0.09025668535214959,0.09249032561870425,0.0899296375537721,0.09212411672743395,0.09127834074624395,0.09291855109355213,0.09291855109355213,0.09253494643767084,0.09243764345332413,0.09291855109355213,0.08791721095630745,0.09291855109355214,0.09086598219670945,0.09291855109355214,0.09291855109355213,0.09202732949143479,0.09202165107293062,0.09027542780064968,0.09028988306652268,0.09197656310842904,0.08559484318171959,0.09291855109355214,0.09291855109355213,0.08935557101942523,0.09240947689389445,0.09226043208772852,0.09291855109355214,0.09291855109355213,0.09291855109355214,0.09291855109355213,0.09244078275638268,0.09199511626470284,0.09291855109355213,0.09098533734576475,0.09231732785766815,0.08710918919835632,0.0901876315830959,0.09028374071120686,0.09291855109355213,0.09256631731663527,0.08974992164547652,0.09291855109355213,0.09291855109355214,0.09241261327045272,0.08953022802645894,0.08879356209813222,0.09033486755308823,0.09291855109355213,1,2,Homestead Blackberry and Apple Pastry Sour,The Coastal Brewing Company,Specialty,6
3,0.09224439432790814,0.09281872881143877,0.0,0.093245314622112,0.093245314622112,0.09324531462211201,0.09273530236887138,0.09039108905559733,0.093245314622112,0.09235541605608671,0.09090369079971718,0.093245314622112,0.09271542429506167,0.092489883364247,0.09271378464360942,0.09224486941027597,0.09324531462211201,0.09073564699278303,0.093245314622112,0.09267769697025152,0.08685579355913446,0.09190738099969455,0.08646607882978642,0.09217116469880353,0.09275878818079698,0.09055801242192256,0.09113330111627167,0.09278040726301313,0.09324531462211201,0.09127316557680311,0.09324531462211201,0.09226364684927844,0.09282169455902343,0.09158259263687317,0.08805181904958109,0.0898304394576226,0.08669347587645447,0.08857866944663349,0.09242431558193086,0.093245314622112,0.09214028111966656,0.09324531462211201,0.09324531462211201,0.09284434382969325,0.09008509126204892,0.08683520618220618,0.09255322701486488,0.09265943989904149,0.09172375920556627,0.09058512303956999,0.0927444217766675,0.09199740407269126,0.08748895969416948,0.09137343654815624,0.09324531462211201,0.09274083825032593,0.09283132834995278,0.09285416684904699,0.09273972162502878,0.08758168044367336,0.093245314622112,0.09061771599847707,0.09260162534568038,0.0895732383774111,0.0909990731655745,0.09123784852483592,0.09178493229838265,0.08889851741152355,0.09086224633030057,0.0893672681127035,0.0916129268974081,0.09010445711093099,0.0913093022392169,0.08881910513081868,0.09324531462211201,0.08975465105548829,0.09258102960573997,0.09185196505165603,0.09324531462211201,0.08886331124041273,0.09005415762279118,0.093245314622112,0.0920720874956014,0.09237982553288492,0.09198634344789333,0.08843533203468419,0.09324531462211201,0.09324531462211201,0.09215854445871637,0.09244803192833667,0.09260891755902227,0.09083107897195891,0.0924823501793308,0.09324531462211201,0.09217786499595743,0.09181075401506125,0.09149182227234584,0.09324531462211198,0.09324531462211201,0.091589226056836,0.09324531462211201,0.08856671212340671,0.09138017609270575,0.09212635862925322,0.0924575474718444,0.09324531462211201,0.08697317757169513,0.09324531462211201,0.09157271548160802,0.09267748619024468,0.093245314622112,0.09091733846816437,0.09274399202247895,0.09240580470317165,0.09226223314718841,0.09263254241500288,0.08956402784062475,0.09253699059257704,0.09198858713160683,0.093245314622112,1,3,Suit Up,7th Day Brewery,IPA Black,7
4,0.09099019104865236,0.09324531052034266,0.09324531052034266,0.0,0.0900939591942686,0.09324531052034266,0.09324531052034266,0.08590072757507577,0.09185325487195412,0.09324531052034266,0.09324531052034266,0.09324531052034264,0.09324531052034266,0.09193963087148259,0.09324531052034266,0.09211908271621136,0.08995204921950971,0.09191835112621784,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.09025249131633854,0.09324531052034266,0.09324531052034266,0.09049561573841483,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.09324531052034264,0.09324531052034266,0.09324531052034266,0.08733960579096882,0.08980284809083844,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.09188710667964282,0.09139785562333516,0.07598152275395627,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.09196025915527907,0.09324531052034266,0.09324531052034266,0.089347254494144,0.09324531052034266,0.09324531052034266,0.0911805764616886,0.09215304472844729,0.08834438138481295,0.09095395480862765,0.08998908601614518,0.09199113189535027,0.09060764972315966,0.09163597996747061,0.09198834448526239,0.09324531052034266,0.09324531052034266,0.0906576872949215,0.09324531052034266,0.0898124103484255,0.08491593689688613,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.08059703477810734,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.0916503517804871,0.09324531052034266,0.08696474100441959,0.09172595810458636,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.0837039288877591,0.09324531052034266,0.0913578244395412,0.09324531052034266,0.09324531052034266,0.09141912389582871,0.09324531052034266,0.08740718361439068,0.09099395076108152,0.09324531052034266,0.09046782628362464,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.087128135701698,0.08378849066394896,0.09162990389888569,0.09324531052034266,0.09324531052034263,0.08944483823559207,0.09231744679792929,0.09162936961907057,0.09200708481718128,0.09324531052034266,0.09324531052034266,0.08954095339677247,0.09324531052034266,0.09324531052034266,0.0921180467889145,0.09178175041397284,0.09324531052034266,0.0883931795191505,0.09324531052034266,0.09117878972306047,0.0913559611352708,0.09324531052034267,0.08327641405662894,0.09324531052034266,0.09324531052034266,0.09324531052034266,0.09324531052034266,1,4,Whiskey in the jar,Six String Brewing Co,Wood Aged Beer,8
5,0.09353214092033485,0.09353214092033484,0.09353214092033484,0.090371095773131,0.0,0.09353214092033485,0.09353214092033484,0.09176645075541566,0.09203158728633265,0.09353214092033485,0.09353214092033484,0.09353214092033484,0.09353214092033484,0.09212474527171931,0.08792035392213232,0.0899039445709072,0.08743598130888232,0.09210179532510449,0.09038438948754579,0.09054051034823575,0.09353214092033484,0.09353214092033484,0.09353214092033485,0.09353214092033484,0.09353214092033485,0.08692750614869231,0.08986994493266702,0.09353214092033484,0.09353214092033485,0.09353214092033484,0.09353214092033485,0.09353214092033485,0.08724906523415339,0.09214863900657212,0.09353214092033484,0.09353214092033485,0.09092442893648786,0.09206809783409864,0.09353214092033484,0.08840623200184794,0.09353214092033485,0.09353214092033485,0.09353214092033485,0.09353214092033485,0.08938407822803851,0.09353214092033485,0.09353214092033484,0.09353214092033485,0.07832050916957387,0.09353214092033485,0.09159890276657678,0.09235488715502664,0.09353214092033485,0.09106127508551258,0.09222267742193652,0.09218028682292032,0.08904080997502231,0.09353214092033485,0.09217728078649172,0.09353214092033484,0.09353214092033484,0.09074145017147037,0.09353214092033484,0.09353214092033485,0.08659827032331559,0.08872105496723115,0.09353214092033485,0.09353214092033485,0.0837748763962433,0.09122268456857566,0.09110004655695339,0.09353214092033485,0.0918127264625703,0.08410463775558244,0.09353214092033485,0.0898276946705716,0.09353214092033485,0.09020442181387262,0.09353214092033485,0.08543844167382586,0.09353214092033485,0.09353214092033484,0.09353214092033485,0.08169244486329395,0.09353214092033485,0.09353214092033485,0.09114571410394248,0.09353214092033485,0.09353214092033485,0.09053644938741513,0.09353214092033484,0.09053326893571557,0.09057521422885473,0.08444722631075229,0.09353214092033485,0.0843231772009162,0.08948683548624436,0.09065539650924033,0.08943129594125242,0.0898395339801672,0.0897819100737229,0.09219749085476554,0.08974021262899338,0.09353214092033485,0.09237940235708941,0.09353214092033485,0.09043919522111,0.09231714875266576,0.09195446344433934,0.09353214092033484,0.08829410103827405,0.09353214092033485,0.09353214092033485,0.09353214092033484,0.09070429904068791,0.09353214092033484,0.09353214092033484,0.09353214092033484,0.09353214092033485,0.09353214092033484,1,5,Marsden Neopolitan Porter,The Marsden Brewhouse,Stout Tropical,10
6,0.09050262795932373,0.09102859651628387,0.09287865988372111,0.0928786598837211,0.09287865988372111,0.0,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.08871947813782319,0.09287865988372111,0.08515981140712214,0.09056899138392858,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.0856418201529102,0.09287865988372111,0.09287865988372111,0.08874159674791393,0.09287865988372111,0.09287865988372111,0.08860360811150936,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09011921541832385,0.09287865988372111,0.09287865988372111,0.08006431416597169,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.08744145492945392,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.08571481814353532,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09033027382617233,0.09287865988372111,0.09287865988372111,0.08847458098038105,0.09287865988372111,0.09033151027121168,0.09287865988372111,0.0840699227757246,0.09287865988372111,0.09287865988372111,0.0911833918401189,0.08612312798794163,0.09287865988372111,0.08636889130974276,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09061772497521767,0.09064571827797296,0.09287865988372111,0.09287865988372111,0.09050742097808272,0.09287865988372111,0.09287865988372111,0.0900883293100189,0.09287865988372111,0.09050111375363946,0.09287865988372111,0.08998497659070497,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09008990859328508,0.09287865988372111,0.09287865988372113,0.09287865988372111,0.09287865988372111,0.09050659212584973,0.09287865988372111,0.09287865988372111,0.08173170077561172,0.09287865988372111,0.08954894576253683,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09113075736657622,0.09287865988372113,0.09287865988372111,0.09287865988372111,0.08830508411004132,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09091040207162233,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372111,0.09287865988372113,0.09287865988372111,0.09287865988372111,0.08327159062968217,0.09287865988372111,0.09287865988372111,1,6,Go! Go! Ichigo!,The Mill Brewery,Sour,6
7,0.09250205600530773,0.09208280993246522,0.09199610906090792,0.09250205600530773,0.09250205600530773,0.09250205600530774,0.0,0.09205214344423361,0.09250205600530773,0.09250205600530773,0.09208042477671877,0.09250205600530773,0.09198128555677261,0.09250205600530773,0.0919796741683077,0.09250205600530773,0.09250205600530774,0.08753984924966621,0.09250205600530773,0.0843075170872792,0.09250205600530773,0.0920390218693295,0.09201664678953761,0.0900104725276348,0.09202390206798237,0.09207813027665665,0.09250205600530773,0.09204514861619456,0.09250205600530773,0.09250205600530773,0.09250205600530774,0.08639380867270807,0.09208572459002143,0.09199470929927067,0.09205234330184502,0.09196515841686632,0.09250205600530773,0.09196532127126798,0.09250205600530773,0.09250205600530773,0.08933334506792584,0.09250205600530773,0.09250205600530773,0.09210798371739642,0.09148334025276002,0.09195041506386376,0.0918218854010139,0.08806741913517356,0.09197581574371996,0.09202374543450796,0.0920097832474273,0.09207003982377981,0.09250205600530774,0.09250205600530773,0.09250205600530773,0.09200626148102299,0.09209519242859657,0.09211763754689142,0.0920051641003573,0.0919704523513879,0.09250205600530773,0.09199424273725548,0.09186944881796275,0.09250205600530773,0.09250205600530774,0.09147626582187658,0.09199686347057362,0.09250205600530773,0.09250205600530773,0.09250205600530773,0.09193770533986938,0.09250205600530773,0.09059950091439445,0.09199237657717363,0.09250205600530773,0.09155614105847466,0.09184920834405806,0.09250205600530773,0.08509566075885414,0.09204550644152544,0.09192964158599157,0.09250205600530773,0.09250205600530773,0.09250205600530774,0.09206622775050048,0.09250205600530774,0.09250205600530773,0.09250205600530774,0.09143402025077874,0.09250205600530773,0.0885827783696218,0.08367299221489492,0.09175223167652523,0.09250205600530774,0.08951004296537049,0.09250205600530773,0.0918960973799409,0.09250205600530771,0.09250205600530774,0.09250205600530773,0.09250205600530774,0.09250205600530773,0.09193338012944581,0.08770989018122638,0.09250205600530773,0.08829098812452844,0.09178634083493704,0.09250205600530773,0.09192388587465165,0.09194400146694819,0.09250205600530773,0.09208285662386488,0.09200936089972823,0.09250205600530773,0.09250205600530774,0.08873087755451559,0.09150524867213013,0.09180592912382098,0.09206700101766672,0.08801230673445722,1,7,Market 2023,Hop Nation Brewing Co,NEIPA,8
8,0.09314135681173799,0.09101676411325688,0.09029031337873222,0.08580496190972019,0.09138304382914744,0.09314135681173799,0.09268833481206824,0.0,0.09314135681173799,0.08757956641262993,0.09044650516895707,0.09314135681173799,0.09267068357199215,0.09314135681173799,0.09096941710770688,0.09314135681173799,0.09314135681173799,0.09266736699361276,0.09055064236334551,0.09263718379824579,0.09314135681173799,0.09272285227970631,0.09270263446398917,0.09115685200320937,0.0898312662996766,0.08935028659137,0.09126717231176291,0.09272838841264099,0.09314135681173799,0.09314135681173799,0.09139837919807521,0.09226963067915597,0.09276505385042529,0.09268281254031221,0.09273488958432177,0.09265611220138735,0.09314135681173799,0.09265625934406732,0.09050328822849545,0.09069291331760129,0.09283594362847421,0.09314135681173799,0.09314135681173799,0.09278516844660824,0.09222089676059868,0.09264279135588764,0.08170500078026113,0.09262097307749262,0.09095322805099354,0.09007904919095788,0.09109567230636512,0.09275088051643887,0.09314135681173799,0.0897879505075965,0.09314135681173799,0.09269325061364513,0.09145309055872446,0.09279389234407125,0.09269225906008105,0.0926608954061883,0.09314135681173799,0.09268239097702478,0.09256964104453735,0.09074900424453404,0.09114822497573728,0.0905420885903996,0.09268475895009463,0.09314135681173799,0.08886233989210085,0.09061583243784842,0.09263130810236281,0.08987124670299579,0.09142316786531456,0.09102269792791269,0.08196738912547062,0.08699728995657004,0.09255135549020417,0.09314135681173799,0.09314135681173799,0.08680451517501532,0.09262402257437712,0.09314135681173799,0.09314135681173799,0.09059922896649147,0.09093191179802772,0.09314135681173799,0.09314135681173799,0.09314135681173799,0.09217636053326393,0.09314135681173799,0.09257611541301264,0.08946281838434261,0.09001132035573352,0.09314135681173799,0.08765747629908618,0.09107364233772954,0.08576937023036914,0.09314135681173798,0.093141356811738,0.09314135681173799,0.09151816885357505,0.09314135681173799,0.09262740030603932,0.09214780052669502,0.09314135681173799,0.09106049125144096,0.09249456267815592,0.09314135681173799,0.09020088796131236,0.09030448564408135,0.09314135681173799,0.09078437920661485,0.09269605114311356,0.09314135681173799,0.093141356811738,0.08678754361391108,0.0922406809839298,0.09251225777824335,0.0927481345677738,0.09314135681173799,1,8,Barrel Aged Rum Double Choc Brown Ale,Bad Shepherd Brewing Co,Specialty,7
9,0.09241216701970059,0.09241216701970058,0.09241216701970058,0.09103254933853541,0.09092958133650168,0.09241216701970059,0.09241216701970058,0.09241216701970059,0.0,0.09241216701970059,0.0890035314177782,0.09241216701970058,0.09121955965794573,0.09241216701970058,0.09241216701970059,0.09016406495309456,0.0908634590264201,0.08976038291967976,0.09241216701970058,0.09113431393797794,0.09241216701970058,0.09241216701970058,0.09241216701970059,0.09241216701970058,0.09241216701970059,0.09241216701970059,0.09149920675778454,0.09241216701970058,0.09241216701970059,0.0913192397895471,0.09241216701970059,0.09241216701970059,0.09241216701970058,0.09102746998568274,0.09138280617596425,0.09241216701970059,0.09241216701970059,0.09094685084701538,0.09241216701970058,0.09099283128020823,0.09241216701970059,0.09241216701970059,0.09241216701970059,0.09241216701970059,0.09102582163250834,0.09241216701970059,0.09241216701970058,0.09241216701970059,0.09241216701970059,0.0913171259929492,0.09241216701970058,0.09023227259789109,0.09241216701970059,0.0916024106765055,0.08998591471359778,0.08697649095354193,0.09148116683980616,0.09153266593183476,0.0899012491013547,0.09241216701970058,0.09241216701970058,0.08841922549656335,0.09241216701970058,0.09241216701970059,0.08808097579229039,0.09241216701970059,0.09241216701970059,0.09087078827990143,0.09241216701970058,0.09118416517242622,0.09111935721551861,0.09241216701970059,0.09069122604782999,0.09241216701970059,0.08744085993435038,0.09241216701970058,0.09241216701970059,0.09241216701970058,0.09241216701970059,0.09241216701970058,0.09241216701970059,0.09241216701970058,0.09241216701970059,0.09241216701970059,0.09241216701970059,0.09115705707217231,0.09241216701970059,0.09241216701970059,0.09119267122223677,0.09241216701970059,0.09241216701970058,0.09241216701970059,0.09241216701970059,0.09241216701970059,0.09241216701970059,0.09066914560403941,0.09241216701970059,0.09241216701970056,0.09241216701970059,0.09141133737159678,0.09241216701970059,0.0887869532873608,0.09110940899367387,0.09241216701970059,0.08828418813944058,0.09241216701970059,0.09241216701970058,0.09016198403170611,0.09083310485825953,0.08724650277088132,0.09014083686058864,0.09145285601091897,0.09241216701970059,0.09241216701970058,0.0912036568591614,0.09103222696578891,0.09241216701970058,0.09241216701970058,0.0914164598888122,0.09241216701970058,1,9,I am Weiss,Yenda Brewing Co,Wheat,3
10,0.09115304993124154,0.09208636395852557,0.09120752598613761,0.09208636395852557,0.09208636395852558,0.09208636395852558,0.09208636395852557,0.08658757080707395,0.09208636395852558,0.0,0.08966577256615352,0.09208636395852557,0.09208636395852558,0.09138190520086406,0.09208636395852558,0.09208636395852557,0.09208636395852558,0.09025510585538196,0.09208636395852557,0.09208636395852558,0.09208636395852557,0.09128220679445838,0.09124327090775014,0.09208636395852557,0.0890767561071174,0.09208636395852558,0.09208636395852557,0.09208636395852558,0.09208636395852558,0.09125722566296082,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09130538462912403,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.08852498115358595,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09120404336640266,0.09112797615345056,0.09208636395852557,0.09208636395852558,0.09117220052754854,0.08933623244828888,0.09208636395852558,0.09133617072957986,0.09208636395852558,0.09208636395852557,0.09208636395852558,0.09208636395852558,0.09208636395852557,0.09208636395852558,0.09208636395852558,0.09116286325302365,0.09208636395852557,0.09120427744144756,0.09208636395852558,0.09120362850371007,0.09208636395852558,0.09119792060985345,0.091208839106256,0.09091770239376137,0.09208636395852557,0.09115491779657509,0.09110584415728004,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09208636395852557,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09208636395852557,0.09208636395852558,0.09208636395852558,0.09099243880643139,0.08858403766874225,0.09132953935867137,0.091134390072272,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09134288709197518,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09109103440502098,0.09208636395852558,0.09103337418454344,0.09208636395852556,0.09208636395852558,0.09208636395852558,0.09208636395852558,0.09123612790611237,0.09208636395852558,0.09208636395852558,0.09135175834913495,0.09208636395852558,0.09208636395852557,0.09208636395852558,0.09108177709072524,0.09208636395852557,0.09208636395852557,0.09208636395852558,0.09208636395852558,0.09130351964487454,0.09116967887393318,0.09208636395852557,0.09208636395852558,0.09208636395852557,0.091330884528291,0.09208636395852558,1,10,"Tim, Tam & Tom",B.O.B,Brown,6
