,Beer,Sim_Rank,Sim_Beer
0,1,1,58
1,1,2,102
2,1,3,67
3,1,4,44
4,1,5,109
5,1,6,22
6,1,7,78
7,1,8,77
8,1,9,51
9,1,10,25
0,2,1,55
1,2,2,93
2,2,3,108
3,2,4,83
4,2,5,42
5,2,6,15
6,2,7,118
7,2,8,96
8,2,9,117
9,2,10,34
0,3,1,23
1,3,2,37
2,3,3,46
3,3,4,21
4,3,5,107
5,3,6,53
6,3,7,60
7,3,8,35
8,3,9,86
9,3,10,102
0,4,1,40
1,4,2,69
2,4,3,116
3,4,4,80
4,4,5,95
5,4,6,65
6,4,7,8
7,4,8,75
8,4,9,94
9,4,10,33
0,5,1,49
1,5,2,84
2,5,3,69
3,5,4,74
4,5,5,96
5,5,6,94
6,5,7,80
7,5,8,65
8,5,9,26
9,5,10,33
0,6,1,32
1,6,2,91
2,6,3,118
3,6,4,55
4,6,5,14
5,6,6,19
6,6,7,44
7,6,8,59
8,6,9,61
9,6,10,37
0,7,1,92
1,7,2,20
2,7,3,79
3,7,4,32
4,7,5,18
5,7,6,104
6,7,7,120
7,7,8,48
8,7,9,106
9,7,10,91
0,8,1,47
1,8,2,75
2,8,3,97
3,8,4,4
4,8,5,116
5,8,6,80
6,8,7,76
7,8,8,10
8,8,9,95
9,8,10,69
0,9,1,56
1,9,2,110
2,9,3,75
3,9,4,65
4,9,5,105
5,9,6,62
6,9,7,102
7,9,8,11
8,9,9,18
9,9,10,59
0,10,1,8
1,10,2,39
2,10,3,84
3,10,4,25
4,10,5,50
5,10,6,11
6,10,7,18
7,10,8,68
8,10,9,83
9,10,10,97
0,11,1,50
1,11,2,102
2,11,3,86
3,11,4,74
4,11,5,60
5,11,6,72
6,11,7,68
7,11,8,111
8,11,9,81
9,11,10,53
0,12,1,118
1,12,2,24
2,12,3,55
3,12,4,19
4,12,5,44
5,12,6,59
6,12,7,73
7,12,8,83
8,12,9,61
9,12,10,91
0,13,1,36
1,13,2,18
2,13,3,87
3,13,4,79
4,13,5,95
5,13,6,38
6,13,7,30
7,13,8,51
8,13,9,23
9,13,10,112
0,14,1,6
1,14,2,99
2,14,3,111
3,14,4,64
4,14,5,85
5,14,6,65
6,14,7,33
7,14,8,22
8,14,9,94
9,14,10,90
0,15,1,28
1,15,2,37
2,15,3,70
3,15,4,55
4,15,5,96
5,15,6,19
6,15,7,74
7,15,8,5
8,15,9,84
9,15,10,114
0,16,1,45
1,16,2,65
2,16,3,81
3,16,4,115
4,16,5,103
5,16,6,107
6,16,7,66
7,16,8,86
8,16,9,62
9,16,10,78
0,17,1,94
1,17,2,26
2,17,3,65
3,17,4,33
4,17,5,5
